Name,City,Street_address,Salary,Application_date,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
Shelly Gordon,New Lauren,9928 Kenneth Flats,88926.38,2018-12-31,50,male,2,own,little,little,5293,27,business,bad
John Kelly,West Jerrymouth,9553 Kristin Fields,96972.16,2018-11-11,66,male,3,own,little,rich,1908,30,business,bad
Heather Vasquez,East Kennethfurt,672 Harris Inlet,44582.2,2018-04-10,51,male,2,own,,,3342,36,radio/TV,good
Rachel Burgess,North Jennifer,469 Cameron Wells,77391.42,2018-07-25,39,female,1,own,,moderate,932,6,education,good
Christine Fritz,Prattfurt,0635 Kim Ramp Suite 687,57510.76,2018-03-27,31,male,2,own,little,little,3104,18,business,good
Lisa Cook,Port Kyle,6767 Paula Station Suite 193,26793.68,2018-12-08,23,male,2,own,little,rich,3913,36,radio/TV,good
Melissa Nelson,Snydermouth,027 Charles Hollow Apt. 985,31411.8,2018-08-12,24,male,1,rent,little,little,3021,24,furniture/equipment,good
Mary Jackson,Guzmanchester,0900 Hayes Crossroad,68976.6,2018-11-30,64,female,2,own,little,,1364,10,car,good
Ariel Mcmillan,East Annafurt,624 Bailey Village,74303.66,2018-08-01,26,male,1,own,little,moderate,625,12,radio/TV,good
Randall Hernandez,Timothyshire,2147 Shaun Wells,48399.67,2018-02-26,23,female,2,rent,,little,1200,12,education,good
Richard Wiley,North Jonathan,0004 Alejandro Camp Apt. 349,56986.61,2018-12-26,30,male,2,own,little,,707,12,radio/TV,good
Eric Farrell,Grantchester,826 Gill Gardens,76861.23,2018-04-29,32,male,2,own,,,2978,24,business,good
Willie Santana MD,Lake Richard,477 Horn Falls Apt. 694,40798.17,2018-01-06,30,male,2,own,little,,4657,15,car,good
Anna Stevens,Lisamouth,284 Robin Track,26105.39,2018-06-14,27,male,2,own,little,,2613,36,repairs,good
Anthony Weaver,Timothyside,20561 Valerie Wall,47020.85,2018-07-22,27,male,2,own,rich,moderate,10961,48,radio/TV,bad
Amanda Turner,South Phyllis,0030 Alexander Ramp,34021.72,2018-04-18,53,male,3,free,little,little,7865,12,furniture/equipment,bad
Jose Morris,North Rachel,40269 John Glens Apt. 688,33476.68,2018-09-19,22,male,2,own,little,,1478,9,radio/TV,bad
Zachary Burns DDS,Michaelstad,5114 Harris Land Apt. 408,37154.15,2018-09-11,22,male,2,free,little,little,3149,24,furniture/equipment,good
Rita Lin,Johnsonhaven,86815 Williams Coves Suite 712,87353.79,2018-11-15,26,male,2,own,little,rich,4210,36,radio/TV,bad
Sarah Joyce,Mccormickhaven,618 Cervantes Motorway,51148.19,2018-01-23,51,male,1,free,quite rich,,2507,9,car,good
Dawn Nguyen,North Michelleburgh,7222 Thomas Pike,76625.41,2018-08-22,35,male,2,own,moderate,,2141,12,radio/TV,good
Joshua Luna,West Ashleyfurt,9334 Nicole Ville,90714.81,2018-01-29,25,male,1,own,little,moderate,866,18,radio/TV,good
Becky Graham,Stephaniefort,32856 Norton Loop,68016.2,2018-04-16,42,male,1,own,little,,1544,4,radio/TV,good
Brittney Lester,South Robert,83865 Thornton Forge Suite 833,28270.84,2018-04-30,30,male,3,own,little,little,1823,24,radio/TV,bad
Roy Rodgers,Stephanieview,791 Woods Cliff Suite 481,25523.04,2018-03-28,23,male,0,own,,moderate,14555,6,car,bad
Daniel Price,Lake Carolynfort,59257 Philip Spurs,79695.67,2018-03-02,61,male,1,rent,moderate,moderate,2767,21,business,bad
Pamela Huynh,Davidshire,686 Harold Glen,92566.18,2018-05-27,35,female,2,own,little,,1291,12,radio/TV,good
Tanya Campbell,West Pamela,1871 Jessica Hollow,57336.13,2018-10-16,39,male,2,own,little,little,2522,30,radio/TV,good
Jeffrey Cole,New Susan,939 Benson Plains Apt. 979,54789.04,2018-10-28,29,female,2,own,,little,915,24,car,bad
Gabrielle Flores,Mezaborough,62893 Nichole Avenue,26632.6,2018-01-25,51,male,2,own,little,,1595,6,radio/TV,good
Brian Brown,West Brentfurt,4529 Tamara Ports Suite 306,38654.84,2018-03-14,24,male,2,free,little,little,4605,48,car,bad
Allen Owen,Hermanmouth,512 Merritt Circle Suite 132,82194.83,2018-02-14,27,female,2,own,little,,1185,12,business,good
Nicholas Moore,East Jackfort,558 Oscar Knolls,69900.61,2018-06-05,35,female,1,own,quite rich,,3447,12,education,good
Megan Caldwell,Josephstad,40258 Scott Track,38943.74,2018-03-10,25,male,2,own,little,,1258,24,business,good
Charles Dickerson,Jenniferchester,0733 Joshua Radial Suite 362,49264.92,2018-12-19,52,male,2,own,little,,717,12,radio/TV,good
Carl Garcia,Tranbury,956 Robertson Via Apt. 063,33150.52,2018-05-07,35,male,2,rent,moderate,,1204,6,car,good
Ebony Black,New Jessicabury,2095 Nathan Dale,88394.54,2018-09-07,26,male,2,own,little,rich,1925,24,furniture/equipment,good
Natalie Becker,East Susanburgh,17043 Dawn Center,55587.62,2018-04-26,22,female,2,rent,little,,433,18,radio/TV,bad
Yolanda Stewart,Rodriguezton,7880 Joel Via Suite 453,61933.43,2018-08-16,39,female,1,own,rich,little,666,6,car,good
Katherine Edwards,New Jasonview,6412 Graves Circle Apt. 133,38372.68,2018-08-21,46,female,1,own,little,rich,2251,12,furniture/equipment,good
John West,Harrisonberg,3119 Denise Well Apt. 156,32900.06,2018-01-11,24,female,2,own,little,moderate,2150,30,car,bad
Erik Mcconnell,New Carol,6928 Erica Fields Apt. 276,37573.32,2018-11-23,35,male,2,own,moderate,,4151,24,furniture/equipment,good
Erica Ferguson,Harperberg,777 Daniel Pike Suite 592,39627.7,2018-06-11,24,male,2,own,,moderate,2030,9,furniture/equipment,good
Janet Green,Johnsonmouth,91646 Morgan Street,76838.74,2018-02-07,27,male,1,own,,moderate,7418,60,radio/TV,good
Garrett Brown,North Sabrinastad,80635 Scott Landing,95263.48,2018-11-12,35,male,1,own,little,,2684,24,radio/TV,good
Monica Wood,Yuberg,806 Wall Gateway Apt. 106,32447.48,2018-06-29,29,male,2,free,little,little,2149,12,radio/TV,bad
Jennifer Larson,Pierceview,7747 Tyler Street,81481.51,2018-12-23,23,female,2,own,moderate,,3812,15,car,good
Jon Washington,Freemanville,01946 Timothy Pine,70305.2,2018-07-29,57,female,1,own,moderate,,1154,11,radio/TV,good
Carla Meyers DDS,East Joshua,56595 Angela Fields Suite 821,79284.45,2018-04-21,27,male,2,own,little,little,1657,12,furniture/equipment,good
Kimberly Peterson,Leestad,61831 James Mission,84032.39,2018-01-21,55,female,2,own,little,little,1603,24,radio/TV,good
Vanessa Coleman,Lake Dennis,3941 Sara Cove Suite 579,29667.54,2018-09-26,36,male,3,free,little,little,5302,18,car,good
Scott Rogers Jr.,Nicholasport,560 White Extensions Suite 055,45542.53,2018-08-07,57,female,1,free,little,,2748,12,education,good
Brent Carter,East Nicholas,876 Perez Lodge,39916.95,2018-02-07,32,male,1,own,little,,1231,10,car,good
Ethan Meyers,Baldwinstad,8099 Ashley Island Apt. 440,28997.63,2018-08-17,37,male,2,own,little,moderate,802,15,radio/TV,bad
Dale Jones,South Kristenmouth,61036 Morrison Park,42104.61,2018-06-15,36,male,2,own,,,6304,36,business,good
Joanne Thompson,East Carrie,06621 Isabella Knoll,58600.77,2018-08-28,38,female,2,own,little,,1533,24,radio/TV,good
Christina Molina,North Robinside,6101 Glass Shores Suite 958,25575.21,2018-01-29,45,male,3,own,little,little,8978,14,car,bad
Jennifer Gomez,Terranceland,228 Payne Divide Apt. 588,80649.28,2018-12-23,25,male,2,own,,,999,24,radio/TV,good
William Savage,West Brenda,92780 Angelica Oval Suite 785,96808.87,2018-02-23,32,male,2,own,,,2662,18,car,good
Ashley Snyder,Odonnellmouth,405 Diana Isle,74870.21,2018-05-13,37,female,2,rent,quite rich,,1402,12,furniture/equipment,good
Scott Daniels,Lake Sharon,477 Beth Parkways Apt. 768,56196.02,2018-07-17,36,male,3,free,,moderate,12169,48,car,good
Kayla Brooks,Port Gregorybury,4264 Brian Dam,91339.74,2018-03-25,28,male,2,own,little,moderate,3060,48,radio/TV,bad
Richard Lee,South Alishafort,43191 Joshua Summit Suite 437,62192.66,2018-11-15,34,male,1,own,little,little,11998,30,repairs,bad
Rachel Martinez,South Danielchester,13369 Tina Springs Suite 969,42601.41,2018-07-20,32,male,2,own,little,,2697,9,radio/TV,good
Stacy Sharp,Lake Markshire,731 Meredith Plains Suite 161,92341.76,2018-03-21,26,female,2,own,little,,2404,18,radio/TV,good
Patricia Hancock,West Steventon,00033 Chloe Islands,62440.02,2018-12-19,49,male,1,own,,little,1262,12,furniture/equipment,good
Joshua Walker,Melissaside,077 Moore Land Apt. 437,85754.07,2018-08-25,32,female,2,own,little,,4611,6,furniture/equipment,bad
Linda Williamson,New Briantown,60737 Swanson Way Suite 048,45936.87,2018-05-23,29,male,3,rent,moderate,,1901,24,radio/TV,good
Jamie Hodge,West Beth,20026 Gregory Wall Apt. 520,82132.45,2018-09-24,23,male,2,rent,rich,,3368,15,car,good
Eric Gonzalez,West Beth,3703 Amy Gateway Suite 589,44309.5,2018-09-12,50,male,2,own,little,,1574,12,furniture/equipment,good
Thomas Lopez,Hawkinsport,7430 Sherri Spur Apt. 516,30485.41,2018-09-13,49,male,1,own,,rich,1445,18,radio/TV,good
Ashley Hill,Hensonville,12259 Martin Common,54226.55,2018-10-19,63,male,2,own,,,1520,15,furniture/equipment,good
Nicholas Murphy,West Tracyfort,1563 Gilbert Place,27780.85,2018-08-24,37,male,2,own,moderate,moderate,3878,24,car,good
Kristina Willis,East Carlos,41341 Robert Stravenue,90558.1,2018-11-17,35,female,1,own,little,little,10722,47,car,good
Tina Moore,West Robert,6231 Rice Island,77198.96,2018-11-18,26,male,2,own,little,little,4788,48,car,good
Suzanne Roberts,Schaeferburgh,8108 Lisa Ridges,55251.38,2018-12-12,31,male,3,free,moderate,moderate,7582,48,vacation/others,good
Tamara Bailey,Hodgesfort,79853 Yoder Walk Suite 448,96982.98,2018-09-12,49,female,2,own,little,moderate,1092,12,radio/TV,good
Steve Rose,Rodriguezmouth,971 Davis Terrace Apt. 420,49855.66,2018-03-02,48,male,2,own,little,little,1024,24,radio/TV,bad
Timothy Henderson,West Jason,2625 Benjamin Loop,64864.96,2018-12-04,26,male,2,own,little,,1076,12,business,good
Sarah Young,Richardview,34611 William Oval,43151.85,2018-02-03,28,male,3,rent,little,moderate,9398,36,car,bad
Denise Richards,Silvastad,732 Baldwin Court,92559.59,2018-03-11,44,female,3,free,little,little,6419,24,car,good
Christopher Bradford,Ryanburgh,8960 Paula Run,96832.27,2018-05-28,56,male,2,free,little,rich,4796,42,car,good
Jesse Harris,North Tiffany,661 Nicholas Flat Suite 844,53797.48,2018-01-22,46,male,3,own,,,7629,48,business,good
Donna Brock,Courtneyhaven,04165 Rebecca Motorway Apt. 119,93884.36,2018-05-02,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad
Nicholas Shaffer,East Leslie,34531 Cowan Point,37743.95,2018-09-04,20,female,2,rent,,,4675,12,car,good
Kimberly Huffman,South Felicialand,3367 Warren Knoll,49309.96,2018-12-31,45,male,1,own,,,1287,10,car,good
Nicole Bright,Johnsonmouth,4464 April Mountains,74935.65,2018-05-23,43,male,2,own,little,,2515,18,furniture/equipment,good
Charles Ward,West Stevenbury,687 Simmons Circles Suite 923,51557.22,2018-04-22,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good
Patricia Smith,Brittanyfort,229 Spencer Plaza Suite 686,73435.8,2018-07-20,54,female,0,own,little,,672,6,car,good
Dr. Dominique Barnes,Allenside,5125 Jocelyn Field,36190.48,2018-07-28,42,female,2,own,little,moderate,3804,36,radio/TV,bad
Kathryn Willis,Robertsborough,8706 Adams Circle,43940.28,2018-01-07,37,male,1,own,,rich,1344,24,car,bad
Shannon Avila,North Jessica,500 Parker Bridge Suite 653,62931.55,2018-10-15,49,male,2,own,little,little,1038,10,car,good
Diamond Steele,New Hunter,9086 Veronica Wall,30237.53,2018-11-17,44,male,2,free,quite rich,,10127,48,car,bad
Andrew Wade,Carolland,9470 Price Circle,53809.5,2018-10-21,33,male,2,own,rich,,1543,6,furniture/equipment,good
Andre Duffy,Carolinestad,25712 Banks Plain,61609.35,2018-03-25,24,female,1,rent,,,4811,30,car,good
William Eaton,Dennishaven,517 Rebecca Club,91722.73,2018-07-21,33,male,1,own,moderate,little,727,12,radio/TV,bad
John West,North Shannonton,054 Jennifer Mission,58404.85,2018-11-19,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad
Jenna Smith,Fitzgeraldside,967 Mercer Plains Apt. 866,62687.94,2018-08-26,22,male,1,rent,little,moderate,276,9,car,good
Amy Fowler,Martinmouth,3384 Garcia Mill Suite 522,30511.44,2018-03-10,40,male,0,free,,moderate,5381,48,vacation/others,good
Douglas Davis,New Robertfurt,5479 Young Squares Suite 923,84796.35,2018-08-29,25,male,2,own,moderate,,5511,24,furniture/equipment,good
Jeffrey Terry,East Eddie,449 Alvarez Manors Apt. 977,99564.75,2018-06-12,26,female,2,own,little,rich,3749,24,furniture/equipment,good
Monica Smith,Garnerville,423 David Garden,31522.33,2018-09-18,25,male,1,own,little,moderate,685,12,car,bad
Jeremy Lopez,Taylorchester,621 Brittany Springs,82991.9,2018-10-26,29,male,1,own,,rich,1494,4,car,good
Richard Mora,Reneeport,387 Andres Squares Apt. 405,55834.88,2018-01-30,31,male,2,own,little,little,2746,36,furniture/equipment,bad
Jessica Nichols,Lake Taylorburgh,297 Marquez Trail Apt. 348,55036.73,2018-04-27,38,male,1,own,little,little,708,12,furniture/equipment,good
Barry Smith,Lynnside,311 Kevin Mall,39349.33,2018-08-01,48,female,1,own,,moderate,4351,24,furniture/equipment,good
Thomas Bryan,Esteschester,1632 Castro View,61803.33,2018-04-01,32,male,2,own,little,,701,12,education,good
Colleen Alexander,Hendersonhaven,43607 Wallace Ports Suite 190,64497.2,2018-11-19,27,female,1,own,little,little,3643,15,furniture/equipment,good
Katrina Larson,Port Hannah,67184 Miller Stream Apt. 441,36018.19,2018-02-07,28,male,3,own,little,moderate,4249,30,car,bad
Eric Brock,Peterport,9198 Andrew Crossroad Suite 630,95408.21,2018-02-28,32,male,2,own,little,little,1938,24,radio/TV,bad
Sarah Reyes,Gonzaleschester,05267 Kevin Spurs Apt. 364,72509.16,2018-08-05,34,male,3,free,little,little,2910,24,car,good
Jason Newman,New Daniel,5083 Rodriguez Crescent,52843.87,2018-08-07,28,male,2,own,rich,little,2659,18,furniture/equipment,good
Michael Padilla,North Julieport,839 Martin Walks Suite 674,50961.31,2018-03-30,36,female,2,own,little,,1028,18,car,good
John Patterson,Mullenchester,9120 Eaton Lane,68476.78,2018-09-01,39,male,1,own,little,little,3398,8,car,good
George Cain,Reginatown,472 Matthew Brook,83863.31,2018-01-17,49,male,2,rent,,,5801,12,furniture/equipment,good
Kayla Paul,West Jenniferfurt,7690 Edward Trace,47805.58,2018-03-23,34,female,2,own,rich,,1525,24,car,good
Madeline Smith,North Kimberly,1358 Penny Skyway,34142.81,2018-07-01,31,male,2,own,little,rich,4473,36,radio/TV,good
Janice Reyes,West Eric,02743 Kirk Flat,54658.0,2018-08-07,28,male,2,own,little,moderate,1068,6,radio/TV,good
Christine Taylor,Alejandrashire,82288 Mercer Parkways Suite 628,61114.36,2018-07-08,75,male,3,free,little,little,6615,24,car,good
Allen Marquez,East Michael,32728 Baker Ridges Apt. 735,95449.44,2018-05-08,30,female,2,own,moderate,,1864,18,education,bad
Laurie Montes,Robinsonmouth,8481 Lisa Coves,40846.28,2018-12-10,24,female,3,own,moderate,moderate,7408,60,car,bad
Michelle Phillips,Lake Richard,3934 Micheal Shores,51319.98,2018-04-23,24,female,1,rent,moderate,,11590,48,car,bad
William Gaines,Brettmouth,36355 Farrell Avenue,71213.02,2018-01-18,23,male,2,rent,little,little,4110,24,furniture/equipment,bad
Darryl Wallace,Adamport,6299 Hill Row,97565.65,2018-08-09,44,male,3,rent,little,little,3384,6,furniture/equipment,bad
Robert Bender,Lambville,5954 Ellison Ways Suite 007,87926.18,2018-10-16,23,female,1,own,little,moderate,2101,13,radio/TV,good
Mark Smith,West Lorishire,395 Rachel Fork Suite 934,51130.59,2018-02-08,24,female,2,rent,,little,1275,15,domestic appliances,bad
Kevin Russell,Turnerton,86446 Ray Islands Apt. 029,49706.48,2018-07-06,28,male,2,own,little,little,4169,24,furniture/equipment,good
Ashley Rodriguez,Blakeville,58206 Bates Cove Apt. 728,40860.12,2018-02-24,31,male,1,own,little,moderate,1521,10,furniture/equipment,good
Rachel Romero,East Joshua,73062 Tara Stravenue,66752.67,2018-01-06,24,female,2,free,little,moderate,5743,24,education,good
Rose Anderson,Franciscoton,94306 Hines Loop,26022.16,2018-02-18,26,female,1,rent,little,little,3599,21,furniture/equipment,good
Mindy Turner,North Corey,185 Quinn Mountain Apt. 087,99098.71,2018-01-20,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good
Kenneth Rodriguez,Mccoybury,26730 Burnett Corner,46128.38,2018-02-19,33,male,3,own,little,moderate,4439,18,business,good
Travis Phillips,East Jamesmouth,2840 Cortez Heights,37359.95,2018-05-30,37,male,1,own,little,rich,3949,10,car,good
Tammy Murphy,Port Anita,419 Antonio Divide,84605.75,2018-04-26,43,female,1,own,little,,1459,15,radio/TV,good
Travis Benjamin,Lake Donnabury,51239 Holmes Vista Apt. 625,79396.42,2018-05-19,23,male,2,own,little,moderate,882,13,radio/TV,good
Terry Martinez,South Lorifort,515 Pitts Key Apt. 309,85469.19,2018-12-21,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good
Joshua Richard,Johnbury,085 Joseph Views Apt. 233,48617.01,2018-11-28,34,male,1,own,moderate,,1743,6,business,good
Philip Carson,New Katiechester,2958 Maddox Lights Suite 328,56644.73,2018-02-12,32,male,2,free,rich,moderate,1136,9,education,bad
Jeffrey Weeks,Kaitlinview,79034 Rebecca Landing Suite 257,65518.68,2018-03-17,23,female,2,rent,little,,1236,9,domestic appliances,good
Lawrence Maldonado,Jessicaberg,557 Howard Ramp Apt. 562,81446.04,2018-07-16,29,female,2,own,little,moderate,959,9,furniture/equipment,bad
Dawn Black,North Robert,532 Robbins Garden Suite 066,69970.49,2018-01-11,38,male,3,own,,,3229,18,car,good
Sonya Stafford,East Curtis,56250 Rodriguez Fall Suite 493,73961.35,2018-06-09,28,male,2,rent,little,little,6199,12,radio/TV,bad
Jacob Thomas,Danielbury,8040 Melanie Underpass,43943.29,2018-01-19,46,male,2,free,quite rich,,727,10,education,good
John Howard,Port Jacob,782 Cory Drives,32219.91,2018-01-31,23,male,1,own,little,moderate,1246,24,car,bad
Robert Ryan,Shanebury,931 Michael Hollow Apt. 472,99313.4,2018-01-30,49,male,2,own,,,2331,12,radio/TV,good
Shaun Schmidt,New Teresa,9027 Keller Road Suite 643,97815.68,2018-09-21,26,male,3,own,little,,4463,36,radio/TV,bad
Shannon Harding,Lake Kevinfort,685 Rodgers Pine Suite 819,46270.88,2018-01-20,28,male,2,own,little,,776,12,radio/TV,good
Dylan Bullock,Katherineport,119 Lisa Bypass Suite 309,57551.15,2018-07-31,23,female,2,rent,little,little,2406,30,furniture/equipment,bad
Melissa Sanchez,North Johnside,785 Brandon Wells,98685.72,2018-06-30,61,male,2,free,,moderate,1239,18,education,good
Joanna Brown,South Tammyport,41253 Brian Mountain,56457.5,2018-11-13,37,male,3,own,,rich,3399,12,radio/TV,good
Katherine Barker,North Stephanieville,6021 Miles Fall Suite 310,37435.19,2018-02-16,36,female,2,own,little,rich,2247,12,car,good
Antonio Taylor,Melissachester,073 Michael Underpass,70290.99,2018-09-20,21,male,2,rent,little,,1766,6,furniture/equipment,good
Tamara Rivas,East Ryantown,779 Melissa Circle,73069.09,2018-09-05,25,male,0,own,little,little,2473,18,furniture/equipment,bad
Destiny Dodson,Cindyside,76484 Ryan Crossroad Apt. 338,26643.73,2018-09-28,36,male,2,own,little,,1542,12,business,good
Mark Roberts,Stephensberg,320 Sherry Walks,70637.37,2018-09-15,27,male,2,own,little,,3850,18,car,good
Scott Kaufman,Shortport,345 Swanson Track,54790.25,2018-03-11,22,female,2,rent,little,little,3650,18,furniture/equipment,good
Dawn Anderson,Edwardston,41507 Adam Course Apt. 386,65359.69,2018-02-26,42,male,2,own,little,little,3446,36,furniture/equipment,bad
Kristine Davila,Brandonport,06178 James Point,36416.42,2018-10-28,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good
Sergio Phillips,Lake Christopherfurt,82029 Kelley Burg Suite 928,37554.0,2018-11-01,36,male,2,own,,,3079,36,car,good
Jennifer Hoover,South Jacobtown,2136 Waters Spur Suite 169,87873.97,2018-12-09,33,male,2,own,little,,6070,18,radio/TV,good
Gina Gordon,West Brenda,064 Ware Gardens Apt. 584,85013.09,2018-01-21,23,female,2,rent,little,,2146,10,furniture/equipment,good
Tracey Edwards,South Jennifer,7932 Bond Walks Suite 081,74082.15,2018-09-01,63,male,3,free,,,13756,60,car,good
Stephanie Bass,Whitakerview,7317 Johnson Gardens,67907.53,2018-02-28,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad
Kristin Blackburn,Port Edwardport,748 Warner Turnpike,48996.74,2018-12-13,37,female,2,rent,little,little,7685,48,business,bad
James Figueroa,South Jenniferside,63036 Tina Shoal Suite 861,46661.88,2018-08-06,34,male,2,own,little,,2320,18,radio/TV,good
Monica Pena,Lukehaven,986 Beverly Point,35571.76,2018-04-22,36,male,2,free,,,846,7,radio/TV,good
Nicholas Parker,Allenview,060 Brown Overpass Apt. 281,51881.41,2018-04-18,57,male,3,free,little,moderate,14318,36,car,bad
Lori Lam,West Kayleeview,013 Frank Lodge Suite 192,95827.83,2018-09-07,52,female,1,own,moderate,,362,6,car,good
Elijah Calderon,Brianstad,596 Jennifer Shore Suite 084,37217.79,2018-08-12,39,male,2,own,,little,2212,20,furniture/equipment,good
Cynthia Stevens,West Angela,949 Reginald Ways,62462.52,2018-11-26,38,female,3,free,little,moderate,12976,18,car,bad
Dana Fletcher,Allenburgh,393 Long Ridges,76517.1,2018-02-05,25,female,2,rent,,,1283,22,car,good
Robert Moss,Randallfort,47650 Jared Brook Suite 113,56138.12,2018-11-18,26,male,2,own,little,rich,1330,12,car,good
Lindsay Olson,Port Angelchester,0460 Cole Trail Apt. 109,98975.4,2018-04-07,26,male,1,own,moderate,,4272,30,business,good
Tony Smith,Kaitlynport,0474 Daniel Key Apt. 017,72631.51,2018-06-27,25,female,2,own,little,,2238,18,radio/TV,good
Nicholas Harrington,Michaelmouth,60087 Patrick Mall Suite 883,55260.1,2018-11-21,21,female,2,rent,,,1126,18,radio/TV,good
Todd Perez,North Markton,817 Stephanie Haven,74561.35,2018-01-04,40,male,3,own,little,moderate,7374,18,furniture/equipment,good
Stuart Reed,Jenniferview,93388 Timothy Mountains,76731.62,2018-03-05,27,male,2,own,quite rich,moderate,2326,15,business,good
Timothy Wolfe,Blackborough,2780 Orr Lodge,74246.35,2018-11-13,27,female,2,own,little,,1449,9,business,good
Austin Moore,Michaelfort,1894 Mendoza Avenue Apt. 690,50441.79,2018-07-19,30,male,3,own,little,,1820,18,car,good
Thomas Turner,Ellismouth,066 Wallace Plains,63177.28,2018-03-07,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good
Kevin Parker,Sandraside,2739 Randolph Street,62730.41,2018-03-01,39,male,3,free,little,little,3249,36,car,good
Destiny Fowler,Ericchester,99852 Johnson Ridge Apt. 025,92548.86,2018-07-25,31,female,2,own,little,little,1957,6,radio/TV,good
Kimberly Wright,East Jaimeshire,9657 Bradley Prairie Apt. 093,29395.53,2018-09-13,31,male,3,own,little,,2406,9,furniture/equipment,good
Jerry Adkins,Port Kendra,04734 Ellis Trafficway Apt. 172,75585.98,2018-12-06,32,male,2,rent,moderate,moderate,11760,39,education,good
Brittany Flowers,West Timothyview,2173 Shannon River,99557.47,2018-01-14,55,female,3,free,little,little,2578,12,furniture/equipment,good
Nicole Williams,West Courtneymouth,8530 Aguirre Lights,52626.01,2018-09-10,46,male,2,own,little,little,2348,36,furniture/equipment,good
Kelly Weber,Donaldview,827 Caitlin Stravenue,45946.63,2018-11-12,46,male,2,rent,little,moderate,1223,12,car,bad
Amanda Lopez,Lake Stephanie,2561 Todd Mill Apt. 758,89248.55,2018-12-12,43,female,1,own,rich,,1516,24,radio/TV,good
Gary Goodman,New Daniel,4249 Patrick Mission,44800.1,2018-12-09,39,male,2,own,little,,1473,18,radio/TV,good
Sonya Huff,Stewartstad,9528 Jackson Union,25644.45,2018-06-05,28,male,2,own,,moderate,1887,18,business,good
Tamara Valencia,New Julie,90126 Perez Avenue,56281.67,2018-03-24,27,male,2,own,little,,8648,24,business,bad
Eric Merritt,Esparzaview,089 Brandon Mountains,62619.64,2018-07-31,27,male,1,own,little,,802,14,car,good
David Sweeney,Port Andrewside,21773 Murray Wells,27580.63,2018-08-17,43,male,2,own,,moderate,2899,18,car,good
Monica Romero,South Duane,3173 Burns Walks,86964.41,2018-12-20,22,male,2,own,little,moderate,2039,24,radio/TV,bad
Deborah Rowland,Chenfort,97261 Charles Falls Apt. 776,53099.14,2018-12-25,43,male,2,own,,,2197,24,car,good
Monica Wilkinson,Holmeschester,0397 Karina Isle,81247.29,2018-08-21,27,male,2,own,little,little,1053,15,radio/TV,good
David Baker,Everettville,1099 Michael Groves Apt. 124,69208.7,2018-01-28,26,male,3,own,quite rich,,3235,24,radio/TV,good
Anthony Baker,South Anna,1930 Munoz Ferry,92918.4,2018-08-03,28,male,2,own,quite rich,rich,939,12,car,bad
Jennifer Hardy,North Kathy,786 Vincent Ford Apt. 311,92081.07,2018-12-03,20,female,2,own,little,moderate,1967,24,radio/TV,good
Stephanie Wade,Taraside,9632 Neal Locks,76336.25,2018-05-07,35,male,3,own,little,,7253,33,car,good
Victoria Jennings,North Reginaldville,565 Amanda Route,28345.1,2018-08-23,42,male,3,own,little,,2292,12,business,bad
Cody Arnold,Kimville,4966 James Passage Apt. 133,62655.34,2018-02-15,40,male,1,rent,quite rich,,1597,10,car,good
Zachary Grimes,Jonesview,52026 Tammy Avenue Suite 862,91000.08,2018-08-31,35,female,2,own,,little,1381,24,car,bad
Pamela Rivera,Hughesbury,65317 Jesse Vista,61351.87,2018-12-25,35,male,2,own,little,,5842,36,car,good
Elizabeth Trujillo,East Edward,261 Allen Lakes,31996.33,2018-09-15,33,male,1,own,little,little,2579,12,car,bad
Scott Bryant,East Vicki,558 Gomez Drive Suite 374,28633.29,2018-11-19,23,female,2,rent,,little,8471,18,education,good
Alice Snyder,Racheltown,228 Nathaniel Pine,39865.03,2018-12-10,31,female,3,own,quite rich,,2782,21,car,good
Laura Smith,Lake Alexandraburgh,31271 Baxter Crescent,50064.75,2018-09-28,33,female,2,own,,moderate,1042,18,car,bad
Morgan Short,Lake Stevenfort,430 Thompson Crossing Apt. 261,27409.16,2018-01-01,20,female,2,rent,rich,,3186,15,car,good
Jordan Patterson,Blairborough,1824 Murphy Ramp Apt. 168,36102.09,2018-12-11,30,male,2,own,,moderate,2028,12,car,good
Dylan Price,South Donna,477 Mcdaniel Glens Suite 388,42911.11,2018-04-13,47,male,1,own,little,moderate,958,12,car,good
Kayla Davis,New James,5121 Juarez Fork Suite 216,99592.02,2018-12-22,34,male,3,own,moderate,,1591,21,furniture/equipment,good
Ralph Logan,Elizabethbury,6104 David Hollow Apt. 867,59726.36,2018-02-02,25,female,2,own,,moderate,2762,12,furniture/equipment,bad
David Johnson,Maddenchester,6892 James Overpass Apt. 674,34045.1,2018-12-29,21,male,2,rent,little,moderate,2779,18,car,good
Carl Weiss,Hollandstad,60527 Douglas Islands,40917.36,2018-04-13,29,male,2,own,little,,2743,28,radio/TV,good
